SCENARIO,SCENARIO_GROUP,CREDENTIAL,EMAIL_SUBJECT,BODY_GREETING,BODY_MAIN,FROM_NAME,MANIPULATION
B01 : RESUME: Update Needed,B01,S,RESUME: Update Needed,"Hello user,",Employers are taking notice of your resume. Reply with your Social Security number immediately for hiring.,Alain Kaunda,PC * MS
B02 : ACT NOW: Job Application,B02,A,ACT NOW: Job Application,"Hello,","You're almost done with your job application. To complete it, kindly enter your bank account details here.",Albert Lokuli,PC * MS
B03 : OVERTIME BONUS,B03,A,OVERTIME BONUS,"Hello,",Your pay has increased from your overtime last week. Kindly provide us with the details of your bank account now.,Antoinette Lenge,PC * MS
B04 : JOB OFFER,B04,S,JOB OFFER,"Hello user,","Companies are reaching out regarding a possible job offer. To be hired, reply with your Social Security number.",Simon Kibawa,PC * MS
B05 : CLAIM YOUR BENEFITS,B05,B&S,CLAIM YOUR BENEFITS,"Hello employee,",We need more details before we can offer you additional benefits. Enter your birthdate and Social Security number.,Pierre Kyungu,PC * MS
B06 : HIRING: Information Needed,B06,A,HIRING: Information Needed,"Hello,",Best wishes on your new role. Send a reply here with the details of your bank account to get your first paycheck.,Paul Thamba,PC * MS
B07 : HIRING UPDATE,B07,S,HIRING UPDATE,"Hello,","Wichita State University is almost done with your hiring. To confirm now, reply with your Social Security number.",Augustine Pezo,PC * MS
B08 : UPDATE NEEDED: Benefits,B08,S,UPDATE NEEDED: Benefits,"Hello,",Your promotion is presently being processed but is unfinished. Provide your Social Security number to advance it.,Bernard Zabsu,PC * MS
B09 : CONGRATULATIONS: Promotion,B09,A,CONGRATULATIONS: Promotion,"Hello employee,","Congratulations, we'd like to extend a promotion offer to you. Act soon -- respond with your bank account details.",Dieu Mugisho,PC * MS
B10 : HIRING: Update,B10,B,HIRING: Update,"Hello applicant,",Wichita State University requires additional information before you are hired. Enter your birthdate now.,Fiston Lukwesa,PC * MS
B11 : UPDATE INFORMATION,B11,B,UPDATE INFORMATION,"Hello,",Your date of birth was not included in your job application. Kindly respond with it before Saturday's deadline.,Pauline Kama,PC * MS
B12 : CONGRATULATIONS: Benefits,B12,B,CONGRATULATIONS: Benefits,"Hello,",Well done on earning new healthcare benefits at work. Enter your birthdate in the reply box to quickly complete.,Jacqueline Tshiala,PC * MS
G01 : Free Rent: CLAIM NOW,G01,A,Free Rent: CLAIM NOW,"Hello applicant,",WSU Housing is giving away free rent for one month. Don't lose out -- reply with your bank account details first.,Annie Kabinda,C * MS
G02 : APPLY: Healthcare,G02,B,APPLY: Healthcare,"Hello client,",WSU Health Services is offering affordable health insurance. Please respond soon with your birthdate to be considered.,Antoinette Kayinda,C * MS
G03 : CLAIM YOUR SCHOLARSHIP,G03,B,CLAIM YOUR SCHOLARSHIP,"Hello,",Wichita State University is offering a new scholarship for tuition. Enter your birthdate to be the first to claim it.,Augustin Mwad,C * MS
