Simulation Name,PID,eventName,eventDateTime,isPartOfCompromise,order,scenario,infoRequested,emailSubject,MANIPULATION,Group,country,age_bin,read,EventDate,EventTime,EventDay,EventTimeBin,EventHour,EventTimeBin_OneHour
DSPC3,97,MessageRead,2023-06-25 13:57:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-25,13:57:00,Sunday,Afternoon,13,13:00–13:59
MSC3,97,MessageRead,2023-06-25 13:56:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-25,13:56:00,Sunday,Afternoon,13,13:00–13:59
DSC2,97,MessageRead,2023-06-25 13:56:00,False,2,P10,X,Lost Package,C * DS,A,CG Democratic Republic of Congo,35 - 44,1,2023-06-25,13:56:00,Sunday,Afternoon,13,13:00–13:59
MSPC3,86,MessageDeleted,2023-06-10 00:23:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
MSPC1,86,MessageDeleted,2023-06-10 00:23:00,False,1,B07,S,HIRING UPDATE,PC * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
MSPC2,86,MessageDeleted,2023-06-10 00:23:00,False,2,B10,B,HIRING: Update,PC * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
MSC2,86,MessageDeleted,2023-06-10 00:23:00,False,2,G03,B,CLAIM YOUR SCHOLARSHIP,C * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
MSC3,86,MessageDeleted,2023-06-10 00:23:00,False,3,G06,A,FINAL NOTICE: Rent,C * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
MSC1,86,MessageDeleted,2023-06-10 00:23:00,False,1,G07,B,UPDATE: Your Award,C * MS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
DSC,86,MessageDeleted,2023-06-10 00:23:00,False,1,P03,X,New Account Activity,C * DS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
DSC2,86,MessageDeleted,2023-06-10 00:23:00,False,2,P10,X,Lost Package,C * DS,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
DSPC1,86,MessageDeleted,2023-06-10 00:23:00,False,1,Y03,S,New Job Posting,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
DSPC2,86,MessageDeleted,2023-06-10 00:23:00,False,2,Y08,S,Complete Application,PC * DS ,A,CG Democratic Republic of Congo,25 - 34,1,2023-06-10,00:23:00,Saturday,Night,00,00:00–00:59
DSC3,87,MessageReplied,2023-06-09 21:46:00,False,3,P09,X,Unfinished Payment,C * DS,A,MW Malawi,25 - 34,1,2023-06-09,21:46:00,Friday,Night,21,21:00–21:59
MSPC3,87,MessageReplied,2023-06-09 21:44:00,False,3,B03,A,OVERTIME BONUS,PC * MS,A,MW Malawi,25 - 34,1,2023-06-09,21:44:00,Friday,Night,21,21:00–21:59
DSC3,87,EmailLinkClicked,2023-06-09 21:27:00,False,3,P09,X,Unfinished Payment,C * DS,A,MW Malawi,25 - 34,1,2023-06-09,21:27:00,Friday,Night,21,21:00–21:59
DSPC3,87,MessageRead,2023-06-09 21:27:00,False,3,Y06,S,WSU Hiring,PC * DS ,A,MW Malawi,25 - 34,1,2023-06-09,21:27:00,Friday,Night,21,21:00–21:59
DSC3,87,MessageRead,2023-06-09 21:26:00,False,3,P09,X,Unfinished Payment,C * DS,A,MW Malawi,25 - 34,1,2023-06-09,21:26:00,Friday,Night,21,21:00–21:59
