Simulation Name,PID,eventName,eventDateTime,isPartOfCompromise,order,scenario,infoRequested,emailSubject,MANIPULATION,Group,country,age_bin,read,EventDate,EventTime,EventDay,EventTimeBin,EventHour,EventTimeBin_OneHour
EWeek 4 - B01 - S,1,MessageRead,2024-09-25 09:32:07,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-25,09:32:07,Wednesday,Morning,09,09:00–09:59
EWeek 4 - B01 - S,1,MessageDeleted,2024-09-25 09:32:07,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-25,09:32:07,Wednesday,Morning,09,09:00–09:59
EWeek 4 - B01 - S,2,SuccessfullyDeliveredEmail,2024-09-23 10:10:33,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-23,10:10:33,Monday,Morning,10,10:00–10:59
EWeek 4 - B01 - S,1,SuccessfullyDeliveredEmail,2024-09-23 10:10:32,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-23,10:10:32,Monday,Morning,10,10:00–10:59
EWeek 4 - B01 - S,3,SuccessfullyDeliveredEmail,2024-09-23 10:10:31,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,35 - 44,5,2024-09-23,10:10:31,Monday,Morning,10,10:00–10:59
EWeek 4 - B01 - S,4,SuccessfullyDeliveredEmail,2024-09-23 10:10:31,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,45 - 54,5,2024-09-23,10:10:31,Monday,Morning,10,10:00–10:59
EWeek 4 - B01 - S,3,MessageRead,2024-09-23 07:28:03,False,4,B01,S,RESUME: Update Needed,PC * MS,C,US United States,35 - 44,5,2024-09-23,07:28:03,Monday,Morning,07,07:00–07:59
EWeek 3 - B01 - S  ,5,MessageDeleted,2024-09-17 06:05:39,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,45 - 54,5,2024-09-17,06:05:39,Tuesday,Morning,06,06:00–06:59
EWeek 3 - B01 - S  ,5,MessageRead,2024-09-17 06:05:22,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,45 - 54,5,2024-09-17,06:05:22,Tuesday,Morning,06,06:00–06:59
EWeek 3 - B01 - S  ,6,MessageRead,2024-09-17 03:56:33,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,35 - 44,5,2024-09-17,03:56:33,Tuesday,Night,03,03:00–03:59
EWeek 3 - B01 - S  ,7,SuccessfullyDeliveredEmail,2024-09-17 03:13:22,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-17,03:13:22,Tuesday,Night,03,03:00–03:59
EWeek 3 - B01 - S  ,8,SuccessfullyDeliveredEmail,2024-09-17 03:13:21,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-17,03:13:21,Tuesday,Night,03,03:00–03:59
EWeek 3 - B01 - S  ,6,SuccessfullyDeliveredEmail,2024-09-17 03:13:21,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,35 - 44,5,2024-09-17,03:13:21,Tuesday,Night,03,03:00–03:59
EWeek 3 - B01 - S  ,5,SuccessfullyDeliveredEmail,2024-09-17 03:13:21,False,3,B01,S,RESUME: Update Needed,PC * MS,C,US United States,45 - 54,5,2024-09-17,03:13:21,Tuesday,Night,03,03:00–03:59
EWeek 2 - B01 - S  ,9,MessageRead,2024-09-12 09:15:02,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-12,09:15:02,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,9,MessageDeleted,2024-09-12 09:15:00,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-12,09:15:00,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,10,EmailLinkClicked,2024-09-12 09:14:48,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,25 - 34,5,2024-09-12,09:14:48,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,10,MessageRead,2024-09-12 09:14:48,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,25 - 34,5,2024-09-12,09:14:48,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,9,SuccessfullyDeliveredEmail,2024-09-12 09:14:09,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-12,09:14:09,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,10,SuccessfullyDeliveredEmail,2024-09-12 09:14:08,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,25 - 34,5,2024-09-12,09:14:08,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,11,SuccessfullyDeliveredEmail,2024-09-12 09:14:08,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-12,09:14:08,Thursday,Morning,09,09:00–09:59
EWeek 2 - B01 - S  ,12,SuccessfullyDeliveredEmail,2024-09-12 09:14:06,False,2,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-12,09:14:06,Thursday,Morning,09,09:00–09:59
EWeek 1 - B01 - S  ,13,MessageRead,2024-09-10 03:47:13,False,1,B01,S,RESUME: Update Needed,PC * MS,C,US United States,25 - 34,5,2024-09-10,03:47:13,Tuesday,Night,03,03:00–03:59
EWeek 1 - B01 - S  ,14,MessageRead,2024-09-06 10:58:25,False,1,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-06,10:58:25,Friday,Morning,10,10:00–10:59
EWeek 1 - B01 - S  ,15,MessageRead,2024-09-04 02:03:42,False,1,B01,S,RESUME: Update Needed,PC * MS,C,US United States,25 - 34,5,2024-09-04,02:03:42,Wednesday,Night,02,02:00–02:59
EWeek 1 - B01 - S  ,14,SuccessfullyDeliveredEmail,2024-09-04 01:11:37,False,1,B01,S,RESUME: Update Needed,PC * MS,C,US United States,18 - 24,5,2024-09-04,01:11:37,Wednesday,Night,01,01:00–01:59
EWeek 1 - B01 - S  ,16,SuccessfullyDeliveredEmail,2024-09-04 01:11:27,False,1,B01,S,RESUME: Update Needed,PC * MS,C,US United States,35 - 44,5,2024-09-04,01:11:27,Wednesday,Night,01,01:00–01:59
EWeek 1 - B01 - S  ,15,SuccessfullyDeliveredEmail,2024-09-04 01:11:27,False,1,B01,S,RESUME: Update Needed,PC * MS,C,US United States,25 - 34,5,2024-09-04,01:11:27,Wednesday,Night,01,01:00–01:59
