Email ID,Scenario,NIST Cue Category (effective),NIST Premise Alignment Category (Group A: African refugees in US),Difficulty_A,NIST Premise Alignment Category (Group B: African international students in US),Difficulty_B,NIST Premise Alignment Category (Group C: American citizens in US),Difficulty_C
E001,B01,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E002,B02,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E003,B03,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E004,B04,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E005,B05,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E006,B06,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E007,B07,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E008,B08,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E009,B09,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E010,B10,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E011,B11,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E012,B12,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E013,G01,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E014,G02,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E015,G03,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E016,G04,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E017,G05,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E018,G06,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E019,G07,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E020,G08,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E021,G09,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E022,G10,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E023,G11,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E024,G12,Few (more difficult),Weak,Moderately difficult,Strong,Very difficult,Strong,Very difficult
E025,P01,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E026,P02,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E027,P03,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E028,P04,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E029,P05,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E030,P06,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E031,P07,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E032,P08,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E033,P09,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E034,P10,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E035,P11,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E036,P12,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E037,Y01,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E038,Y02,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E039,Y03,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E040,Y04,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E041,Y05,Few (more difficult),Strong,Very difficult,Strong,Very difficult,Strong,Very difficult
E042,Y06,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E043,Y07,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E044,Y08,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E045,Y09,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E046,Y10,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E047,Y11,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
E048,Y12,Few (more difficult),Medium,Very difficult,Strong,Very difficult,Strong,Very difficult
